create table tb (rollno integer, name string, marks float)
insert tb (1, Joelle, 78.5)
insert tb (2, Ira, 2.56)
insert tb (3, Heddi, 99.69)
insert tb (4, Malinda, 44.29)
insert tb (5, Celka, 65.27)
insert tb (6, Haywood, 66.48)
insert tb (7, Lana, 55.14)
insert tb (8, Ardelis, 25.77)
insert tb (9, Stavros, 28.72)
insert tb (10, Maurizia, 24.35)
insert tb (11, Tally, 13.75)
insert tb (12, Susan, 73.15)
insert tb (13, Alfons, 13.96)
insert tb (14, Clemente, 76.32)
insert tb (15, Dode, 14.03)
insert tb (16, Paco, 76.68)
insert tb (17, Billie, 23.52)
insert tb (18, Ancell, 37.79)
insert tb (19, Mahalia, 47.85)
insert tb (20, Gertruda, 82.76)
insert tb (21, Adolpho, 68.54)
insert tb (22, Terri, 20.83)
insert tb (23, Amalia, 22.25)
insert tb (24, Saunderson, 16.32)
insert tb (25, Donovan, 87.89)
insert tb (26, Cherey, 90.0)
insert tb (27, Patti, 93.86)
insert tb (28, Brande, 68.97)
insert tb (29, Rita, 54.48)
insert tb (30, Myrtie, 5.6)
insert tb (31, Carie, 45.42)
insert tb (32, Charlton, 55.18)
insert tb (33, Bondie, 94.44)
insert tb (34, Cherice, 76.88)
insert tb (35, Rurik, 79.56)
insert tb (36, Wendye, 89.0)
insert tb (37, Jewell, 11.74)
insert tb (38, Dionysus, 57.08)
insert tb (39, Fran, 77.89)
insert tb (40, Hagen, 41.18)
insert tb (41, Rab, 60.1)
insert tb (42, Honey, 2.84)
insert tb (43, Chrissie, 3.06)
insert tb (44, Alla, 6.53)
insert tb (45, Maressa, 71.36)
insert tb (46, Charo, 61.82)
insert tb (47, Lesley, 37.05)
insert tb (48, Corey, 2.97)
insert tb (49, Danna, 93.58)
insert tb (50, Brana, 25.09)
insert tb (51, Tommy, 95.67)
insert tb (52, Lavinia, 4.13)
insert tb (53, Farand, 89.99)
insert tb (54, Urban, 28.53)
insert tb (55, Clarance, 95.4)
insert tb (56, Edithe, 20.2)
insert tb (57, Selene, 28.09)
insert tb (58, Raychel, 41.96)
insert tb (59, Manuel, 10.85)
